VM-VU5PRA100GSSSC;Licensing>VMware>View
RX-243100;More Brands>Roxio>Easy VHS to DVD
MC-EBSYCMAMGA;Licensing>McAfee>eBusiness Server
MC-EBSYCMAMDA;Licensing>McAfee>eBusiness Server
MC-EBSYCMAMBA;Licensing>McAfee>eBusiness Server
MC-EBSYCMAMEA;Licensing>McAfee>eBusiness Server
MC-EBSYCMAMFA;Licensing>McAfee>eBusiness Server
MC-EBSYCMAMCA;Licensing>McAfee>eBusiness Server
MC-EBSYRMAMAA;Licensing>McAfee>eBusiness Server
MC-EBSYRMAMGA;Licensing>McAfee>eBusiness Server
MC-EBSYRMAMDA;Licensing>McAfee>eBusiness Server
MC-EBSYRMAMBA;Licensing>McAfee>eBusiness Server
MC-EBSYRMAMEA;Licensing>McAfee>eBusiness Server
MC-EBSYRMAMFA;Licensing>McAfee>eBusiness Server
MC-EBSYRMAMCA;Licensing>McAfee>eBusiness Server
MC-EBSCKEBMAA;Licensing>McAfee>eBusiness Server
MC-EBSCKEBMAAHOME;
MC-EBSCKEBMGA;Licensing>McAfee>eBusiness Server
MC-EBSCKEBMDA;Licensing>McAfee>eBusiness Server
MC-EBSCKEBMBA;Licensing>McAfee>eBusiness Server
MC-EBSCKEBMEA;Licensing>McAfee>eBusiness Server
MC-EBSCKEBMFA;Licensing>McAfee>eBusiness Server
MC-EBSCKEBMCA;Licensing>McAfee>eBusiness Server
MC-EBSYCMAMAA;Licensing>McAfee>eBusiness Server
MC-EBSYCMAMAAHOME;
MC-EBOYCMANAA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANAAHOME;
MC-EBOYCMANGA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANBA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANCA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANHA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANDA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANEA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANIA;Licensing>McAfee>eBusiness Server
MC-EBOYCMANFA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANAA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANGA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANBA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANCA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANHA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANDA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANEA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANIA;Licensing>McAfee>eBusiness Server
MC-EBOYRMANFA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNGA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNBA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNCA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNHA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNDA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNEA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNIA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNFA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNAA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNGA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNBA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNCA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNHA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNDA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNEA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNIA;Licensing>McAfee>eBusiness Server
MC-EBOYRMSNFA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNAA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNAAHOME;
MC-EBOCKESNGA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNBA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNCA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNHA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNDA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNEA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNIA;Licensing>McAfee>eBusiness Server
MC-EBOCKESNFA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNAA;Licensing>McAfee>eBusiness Server
MC-EBOYCMSNAAHOME;
MC-EBPYCMAMGA;Licensing>McAfee>eBusiness Server
MC-EBPYCMAMDA;Licensing>McAfee>eBusiness Server
MC-EBPYCMAMBA;Licensing>McAfee>eBusiness Server
MC-EBPYCMAMEA;Licensing>McAfee>eBusiness Server
MC-EBPYCMAMFA;Licensing>McAfee>eBusiness Server
MC-EBPYCMAMCA;Licensing>McAfee>eBusiness Server
MC-EBPYRMAMAA;Licensing>McAfee>eBusiness Server
MC-EBPYRMAMGA;Licensing>McAfee>eBusiness Server
MC-EBPYRMAMDA;Licensing>McAfee>eBusiness Server
MC-EBPYRMAMBA;Licensing>McAfee>eBusiness Server
MC-EBPYRMAMEA;Licensing>McAfee>eBusiness Server
MC-EBPYRMAMFA;Licensing>McAfee>eBusiness Server
MC-EBPYRMAMCA;Licensing>McAfee>eBusiness Server
MC-EBPCKEBMAA;Licensing>McAfee>eBusiness Server
MC-EBPCKEBMAAHOME;
MC-EBPCKEBMGA;Licensing>McAfee>eBusiness Server
MC-EBPCKEBMDA;Licensing>McAfee>eBusiness Server
MC-EBPCKEBMBA;Licensing>McAfee>eBusiness Server
MC-EBPCKEBMEA;Licensing>McAfee>eBusiness Server
MC-EBPCKEBMFA;Licensing>McAfee>eBusiness Server
MC-EBPCKEBMCA;Licensing>McAfee>eBusiness Server
MC-EBPYCMAMAA;Licensing>McAfee>eBusiness Server
MC-EBPYCMAMAAHOME;
MC-EBPYRMSMAA;Licensing>McAfee>eBusiness Server
MC-EBPCKESMAA;Licensing>McAfee>eBusiness Server
MC-EBPYCMSMAA;Licensing>McAfee>eBusiness Server
MC-EBPYCMSMAAHOME;
OR-A97163L11480;Licensing>Oracle>Fusion Middleware Adapters>ebXML Adapter
OR-L11480;Licensing>Oracle>Fusion Middleware Adapters>ebXML Adapter
OR-A97163L11364;Licensing>Oracle>Fusion Middleware Adapters>EDI Adapter
OR-L11364;Licensing>Oracle>Fusion Middleware Adapters>EDI Adapter
AD-65126349;Brands>Adobe>eLearning Suite
V7-CK2P07N6P;More Brands>V7>Keyboard
SZ-EMAILKEYBOX;
SZ-EMAILKEYCODE;
SZ-EMAILEDKEYCODE;
TH-2064;More Brands>Thomson Reuters>EndNote
SY-21182299;Brands>Symantec>Endpoint Protection
SY-21182851;Brands>Symantec>Endpoint Protection
SY-21182300;Brands>Symantec>Endpoint Protection
SY-21182852;Brands>Symantec>Endpoint Protection
SY-21182302;Brands>Symantec>Endpoint Protection
SY-21182853;Brands>Symantec>Endpoint Protection
SY-F4GFOZZ0ER1EA;Licensing>Symantec>Endpoint Protection
SY-F4GFOZZ0ER1EAHOME;
SY-F4GFOZZ0ER1ED;Licensing>Symantec>Endpoint Protection
SY-F4GFOZZ0ER1EE;Licensing>Symantec>Endpoint Protection
SY-F4GFOZZ0ER1EB;Licensing>Symantec>Endpoint Protection
SY-F4GFOZZ0ER1EF;Licensing>Symantec>Endpoint Protection
SY-F4GFOZZ0-ER1EC;Licensing>Symantec>Endpoint Protection
SY-0E7IOZF0EI1EA;Licensing>Symantec>Endpoint Protection
SY-0E7IOZF0EI1EAHOME;
SY-0E7IOZU0EI1EA;Licensing>Symantec>Endpoint Protection
SY-0E7IOZU0EI1EAHOME;
SY-0E7IOZF0EI1ED;Licensing>Symantec>Endpoint Protection
SY-0E7IOZU0EI1ED;Licensing>Symantec>Endpoint Protection
SY-0E7IOZF0EI1EE;Licensing>Symantec>Endpoint Protection
SY-0E7IOZU0EI1EE;Licensing>Symantec>Endpoint Protection
SY-0E7IOZF0EI1EB;Licensing>Symantec>Endpoint Protection
SY-0E7IOZU0EI1EB;Licensing>Symantec>Endpoint Protection
SY-0E7IOZF0EI1EF;Licensing>Symantec>Endpoint Protection
SY-0E7IOZU0EI1EF;Licensing>Symantec>Endpoint Protection
SY-0E7IOZF0EI1EC;Licensing>Symantec>Endpoint Protection
SY-0E7IOZU0EI1EC;Licensing>Symantec>Endpoint Protection
SY-0E7IOZZ0ER1EA;Licensing>Symantec>Endpoint Protection
SY-0E7IOZZ0ER1EAHOME;
SY-0E7IOZZ0ER1ED;Licensing>Symantec>Endpoint Protection
SY-0E7IOZZ0ER1EE;Licensing>Symantec>Endpoint Protection
SY-0E7IOZZ0ER1EB;Licensing>Symantec>Endpoint Protection
SY-0E7IOZZ0ER1EF;Licensing>Symantec>Endpoint Protection
SY-0E7IOZZ0ER1EC;Licensing>Symantec>Endpoint Protection
MC-EPMYFMAAJA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAAGA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAADA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAAHA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAAEA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAABA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAAIA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAAFA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAACA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAAJA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAAGA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAADA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAAHA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAAEA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAABA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAAIA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAAFA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAACA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYKMAAAA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAAJA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAAGA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAADA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAAHA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAAEA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAABA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAAIA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAAFA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAACA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYLMAAAA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAAAA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAAAAHOME;
MC-EPMCDEAAJA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAAGA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAADA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAAHA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAAEA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAABA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAAIA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAAFA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMCDEAACA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAAAA;Licensing>McAfee>EndPoint Protection for Mac
MC-EPMYFMAAAAHOME;
SY-20018918;Brands>Symantec>Endpoint Protection
SY-20018919;Brands>Symantec>Endpoint Protection
SY-20018917;Brands>Symantec>Endpoint Protection
SY-21182454;Brands>Symantec>Endpoint Protection
SY-21182856;Brands>Symantec>Endpoint Protection
SY-21182455;Brands>Symantec>Endpoint Protection
SY-21182857;Brands>Symantec>Endpoint Protection
SY-21182456;Brands>Symantec>Endpoint Protection
SY-21182858;Brands>Symantec>Endpoint Protection
SY-F4GFOZF0EI1EA;Licensing>Symantec>Endpoint Protection
SY-F4GFOZF0EI1EAHOME;
SY-F4GFOZU0EI1EA;Licensing>Symantec>Endpoint Protection
SY-F4GFOZU0EI1EAHOME;
SY-F4GFOZF0EI1ED;Licensing>Symantec>Endpoint Protection
SY-F4GFOZU0EI1ED;Licensing>Symantec>Endpoint Protection
SY-F4GFOZF0EI1EE;Licensing>Symantec>Endpoint Protection
SY-F4GFOZU0EI1EE;Licensing>Symantec>Endpoint Protection
SY-F4GFOZF0EI1EB;Licensing>Symantec>Endpoint Protection
SY-F4GFOZU0EI1EB;Licensing>Symantec>Endpoint Protection
SY-F4GFOZF0EI1EF;Licensing>Symantec>Endpoint Protection
SY-F4GFOZU0EI1EF;Licensing>Symantec>Endpoint Protection
SY-F4GFOZF0EI1EC;Licensing>Symantec>Endpoint Protection
SY-F4GFOZU0EI1EC;Licensing>Symantec>Endpoint Protection
SY-7SGAWZH0XI1EA;Licensing>Symantec>Endpoint Protection.cloud
SY-7SGAWZH0XI1EAHOME;
SY-7SGAWZH0XI1ED;Licensing>Symantec>Endpoint Protection.cloud
SY-7SGAWZH0XI1EE;Licensing>Symantec>Endpoint Protection.cloud
SY-7SGAWZH0XI1EB;Licensing>Symantec>Endpoint Protection.cloud
SY-7SGAWZH0XI1EF;Licensing>Symantec>Endpoint Protection.cloud
SY-7SGAWZH0XI1EC;Licensing>Symantec>Endpoint Protection.cloud
EF-ENFSUITEENB;More Brands>Enfocus>PitStop
OR-A97163L58785;Licensing>Oracle>Enterprise Repository
OR-L58785;Licensing>Oracle>Enterprise Repository
OR-A97163L58793;Licensing>Oracle>Enterprise Repository
OR-L58793;Licensing>Oracle>Enterprise Repository
BB-PRD10459035;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD10459035HOME;
BB-PRD10459034;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD10459018;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD10459018HOME;
BB-PRD10459005;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD10459012;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD10459019;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD24255005;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD24255005HOME;
BB-PRD24255002;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD24255004;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD24255004HOME;
BB-PRD24255001;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD24255019;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00015992;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-ADV100499;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-ADV3199;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00041107;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-PRD07630053;Licensing>Blackberry>BlackBerry Small Business Edition
BB-PRD07630053HOME;
BB-PRD07630054;Licensing>Blackberry>BlackBerry Small Business Edition
BB-SRV00015986;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00015995;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00015310;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00015311;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00015988;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00041105;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00041100;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00015990;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00025001;Licensing>BlackBerry>BlackBerry Enterprise Server
BB-SRV00033002;Licensing>BlackBerry>BlackBerry Enterprise Server
KA-KL4857AAVFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AARFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAWFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AASFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAXFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AATFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAYFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAUFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAQFA;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAQFAHOME;
KA-KL4857AAVFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AARFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAWFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AASFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAMFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AANFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAXFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AATFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAPFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAYFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAUFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAQFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAKFS;Licensing>Kaspersky>Enterprise Space Security
KA-KL4857AAKFSHOME;
OR-A97163L58801;Licensing>Oracle>Entitlements Server
OR-L58801;Licensing>Oracle>Entitlements Server
OR-A97163L58809;Licensing>Oracle>Entitlements Server
OR-L58809;Licensing>Oracle>Entitlements Server
CU-4462B003;More Brands>Canon>EOS Cameras
CU-5169B003;More Brands>Canon>EOS Cameras
MC-EPOYFMAAAA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAAAAHOME;
MC-EPOYFMAAJA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAAGA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAADA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAAHA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAAEA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAABA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAAIA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAAFA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOYFMAACA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAAAA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAAAAHOME;
MC-EPOCDEAAJA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAAGA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAADA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAAHA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAAEA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAABA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAAIA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAAFA;Licensing>McAfee>ePolicy Orchestrator
MC-EPOCDEAACA;Licensing>McAfee>ePolicy Orchestrator
MS-7AA01627;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA01628;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA01633;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA01634;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA01639;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA01640;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA02585;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA02586;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA01627;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA01628;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA01633;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA01634;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA01639;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA01640;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA02222;Licensing>Microsoft Open Government>Essential Business Server
MS-6YA02223;Licensing>Microsoft Open Government>Essential Business Server
MS-7AA01211;Licensing>Microsoft Open Business>Essential Business Server
MS-7AA01214;Licensing>Microsoft Open Business>Essential Business Server
MS-7AA01229;Licensing>Microsoft Open Business>Essential Business Server
MS-7AA01232;Licensing>Microsoft Open Business>Essential Business Server
MS-7AA01247;Licensing>Microsoft Open Business>Essential Business Server
MS-7AA01250;Licensing>Microsoft Open Business>Essential Business Server
MS-7AA02477;Licensing>Microsoft Open Business>Essential Business Server
MS-7AA02480;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA01211;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA01214;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA01229;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA01232;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA01247;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA01250;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA02114;Licensing>Microsoft Open Business>Essential Business Server
MS-6YA02117;Licensing>Microsoft Open Business>Essential Business Server
MS-4PX01505;Licensing>Microsoft Open Value>Essentials
MS-UCH02201;Licensing>Microsoft Open Value>Essentials
MS-DJA00838;Licensing>Microsoft Open Value>Essentials
MS-T9F00310;Licensing>Microsoft Open Value>Essentials
MS-T7F00334;Licensing>Microsoft Open Value>Essentials
MS-DJA00601;Licensing>Microsoft Open Business>Essentials
MS-DJA00684;Licensing>Microsoft Open Government>Essentials
MS-EEC00307;Licensing>Microsoft Open Government>Essentials
MS-4PX01601;Licensing>Microsoft Open Business>Essentials
MS-4PX01667;Licensing>Microsoft Open Government>Essentials
MS-4PX01595;Licensing>Microsoft Open Business>Essentials
MS-4PX01665;Licensing>Microsoft Open Government>Essentials
MS-UCH02114;Licensing>Microsoft Open Business>Essentials
MS-UCH02128;Licensing>Microsoft Open Government>Essentials
MS-UCH021145CML;Licensing>Microsoft Open Business>Essentials
MS-UCH02143;Licensing>Microsoft Open Business>Essentials
MS-UCH02147;Licensing>Microsoft Open Government>Essentials
MS-DJA01324;Licensing>Microsoft Open Business>Essentials
MS-DJA01338;Licensing>Microsoft Open Government>Essentials
MS-T9F00301;Licensing>Microsoft Open Business>Essentials
MS-T9F00287;Licensing>Microsoft Open Government>Essentials
MS-T9F00265;Licensing>Microsoft Open Business>Essentials
MS-T9F00285;Licensing>Microsoft Open Government>Essentials
MS-T7F00321;Licensing>Microsoft Open Business>Essentials
MS-T7F00247;Licensing>Microsoft Open Government>Essentials
MS-T7F00295;Licensing>Microsoft Open Business>Essentials
MS-T7F00245;Licensing>Microsoft Open Government>Essentials
MS-EEC00520;Licensing>Microsoft Open Business>Essentials
MS-EEC00534;Licensing>Microsoft Open Government>Essentials
MS-EEC00682;Licensing>Microsoft Open Business>Essentials
MS-EEC00596;Licensing>Microsoft Open Government>Essentials
MS-EEC00585;Licensing>Microsoft Open Value>Essentials
CA-ETRAV70HEP02;More Brands>CA>Anti-Virus
OR-A97163L27039;Licensing>Oracle>Event-Driven Architecture Suite
OR-L27039;Licensing>Oracle>Event-Driven Architecture Suite
OR-A97163L27047;Licensing>Oracle>Event-Driven Architecture Suite
OR-L27047;Licensing>Oracle>Event-Driven Architecture Suite
MS-06504598;Licensing>Microsoft Open Value>Excel
MS-06503866;Brands>Microsoft>Excel
MS-06504940;Brands>Microsoft>Excel
MS-06505380;Licensing>Microsoft Open Business>Excel
MS-06505320;Licensing>Microsoft Open Government>Excel
MS-06504914;Brands>Microsoft>Excel
MS-79C00007;Brands>Microsoft>Excel
MS-06506962;Brands>Microsoft>Excel
MS-06506962HOME;
MS-06506962DL;Brands>Microsoft>Excel
MS-06507304;Licensing>Microsoft Open Business>Excel
MS-06507326;Licensing>Microsoft Open Government>Excel
MS-06503435;Licensing>Microsoft Open Government>Excel
MS-D46-00897;Licensing>Microsoft Open Business>Excel
MS-D4600917;Licensing>Microsoft Open Government>Excel
MS-D4600228;Licensing>Microsoft Open Business>Excel
MS-D4600221;Licensing>Microsoft Open Government>Excel
MS-06508133;Licensing>Microsoft Open Business>Excel
MS-06503345;Licensing>Microsoft Open Business>Excel
MS-D4600485;Licensing>Microsoft Open Value>Excel
MS-D4600803;Brands>Microsoft>Excel
MS-39400677;Licensing>Microsoft Open Value>Exchange Server
MS-31202637L;Brands>Microsoft>Exchange Server
MS-39502831;Brands>Microsoft>Exchange Server
MS-38103588;Brands>Microsoft>Exchange Server
MS-38103587;Brands>Microsoft>Exchange Server
MS-39401128;Licensing>Microsoft Open Government>Exchange Server
MS-39400441;Licensing>Microsoft Open Government>Exchange Server
MS-9MB00112;Licensing>Microsoft Open Business>Exchange Server
MS-9MB00049;Licensing>Microsoft Open Government>Exchange Server
MS-9MB00675;Licensing>Microsoft Open Business>Exchange Server
MS-9MB00254;Licensing>Microsoft Open Government>Exchange Server
MS-9MB00262;Licensing>Microsoft Open Government>Exchange Server
MS-39503912;Licensing>Microsoft Open Business>Exchange Server
MS-39503888;Licensing>Microsoft Open Government>Exchange Server
MS-39502391;Licensing>Microsoft Open Government>Exchange Server
MS-9MB00134;Licensing>Microsoft Open Business>Exchange Server
MS-9MB00057;Licensing>Microsoft Open Government>Exchange Server
MS-9MB00698;Licensing>Microsoft Open Business>Exchange Server
MS-39503824;Brands>Microsoft>Exchange Server
MS-39401105;Licensing>Microsoft Open Business>Exchange Server
MS-3ED00278;Licensing>Microsoft Open Government>Exchange Server
MS-3ED00276;Licensing>Microsoft Open Government>Exchange Server
MS-38103096BDL20;Licensing>Microsoft Open Business>Exchange Server
MS-38103097BDL20;Licensing>Microsoft Open Business>Exchange Server
MS-38103096BDL5;Licensing>Microsoft Open Business>Exchange Server
MS-38103097BDL5;Licensing>Microsoft Open Business>Exchange Server
MS-38103096;Licensing>Microsoft Open Business>Exchange Server
MS-38103094;Licensing>Microsoft Open Government>Exchange Server
MS-38103102;Licensing>Microsoft Open Government>Exchange Server
MS-31203545;Licensing>Microsoft Open Business>Exchange Server
MS-31203528;Licensing>Microsoft Open Government>Exchange Server
MS-31202138;Licensing>Microsoft Open Government>Exchange Server
MS-31203545BDL5;Licensing>Microsoft Open Business>Exchange Server
MS-38103097;Licensing>Microsoft Open Business>Exchange Server
MS-38103095;Licensing>Microsoft Open Government>Exchange Server
MS-38103103;Licensing>Microsoft Open Government>Exchange Server
MS-31203459;Brands>Microsoft>Exchange Server
MS-38104124;Brands>Microsoft>Exchange Server
MS-38104125;Brands>Microsoft>Exchange Server
MS-PGI00435;Licensing>Microsoft Open Business>Exchange Server
MS-PGI00438;Licensing>Microsoft Open Business>Exchange Server
MS-39401296;Licensing>Microsoft Open Government>Exchange Server
MS-38104178;Licensing>Microsoft Open Business>Exchange Server
MS-38104181;Licensing>Microsoft Open Business>Exchange Server
MS-PGI00519;Licensing>Microsoft Open Government>Exchange Server
MS-PGI00515;Licensing>Microsoft Open Government>Exchange Server
MS-39504363;Licensing>Microsoft Open Business>Exchange Server
MS-39504377;Licensing>Microsoft Open Government>Exchange Server
MS-PGI00520;Licensing>Microsoft Open Government>Exchange Server
MS-PGI00516;Licensing>Microsoft Open Government>Exchange Server
MS-38104178BDL20;Licensing>Microsoft Open Business>Exchange Server
MS-38104181BDL20;Licensing>Microsoft Open Business>Exchange Server
MS-38104178BDL5;Licensing>Microsoft Open Business>Exchange Server
