Item ID,Item Description,Qty on Hand,Avg Cost,Item Value
BB-PRD07630010,BLACK BERRY CAL FOR ENT/PRO 1,,74.07,
BB-PRD07630011,CAL FOR ENT/PRO - 10 USER PACK,,552.38,
BB-PRD07630022,CAL FOR ENT/PRO 5 PACK,,336.56,
BB-PRD07630053,RESEARCH IN MOTION SBE 1U,,74.07,
BB-PRD07630054,BB SERVER SBE CAL 5U PACK,,336.56,
BB-PRD24255001,BLKBERRY 5.0 FOR EXCH 20USER,,"3,216.93",
BB-PRD24255004,BES 5.0 FOR EXCHANGE - 1U,,"2,311.11",
BB-PRD24255019,BES 5.0 FOR EXCHANGE UPG,,713.98,
BB-SPA32498008,MS SHAREPOINT CAL,,20.63,
BB-SRV00015060,BLACKBERRY ADVNTG 31-1000 CAL,,19.81,
BB-SRV00015992,BES ADVTG MLIC 1-30 ACTV CALS,,"1,237.27",
BD-NL11031010EN,Internet Security  1YR 10 user,,125.97,
BD-PL11011001EN,AV PLUS 2012,,27.97,
BD-PL11011003EN,AV PLUS 2012 3 USER,,34.97,
BD-PL11011005EN,ANTIVIRUS PLUS 2012 - 5 U - 1Y,,55.97,
BD-PL11013001EN,ANTIVIRUS PLUS 2013 3Y 1U,,62.97,
BD-PL11013003EN,Antivirus Plus 2013 - 3 Year S,,83.97,
BD-PL11031001EN,INTERNET SECURITY 2012 1YR LIC,,34.97,
BD-PL11031005EN,INTERNET SECURITY 2012 1YR 5U,,76.97,
BD-PL11051001EN,TOTAL SECURITY 2012 1YR SUB,,48.97,
BD-RL11011001EN,ANTIVIRUS PLUS 2013  1 YR,,22.97,
BD-RL11011003EN,ANTIVIRUS 1 YR SUB 3 YR,,34.97,
BD-RL11011005EN,ANTIVIRUS PLUS 2013 1YR 5U,,55.97,
BD-RL11012001EN,ANTIVIRUS PLUS 2013 2YR SUB 1Y,,48.97,
BD-RL11012003EN,ANTIVIRUS PLUS 2013 2Y 3U,,62.97,
BD-RL11013010EN,ANTIVIRUS PLUS 2013 3 YR 10 U,,209.97,
BD-RL11031001EN,INTERNET SECURITY 1YR 1U,,34.97,
BD-RL11033003EN,BD INTERNET SECURITY 3YR 3U,,111.97,
BD-RL11051003EN,TOTAL SECURITY 2013 1Y 3U,,55.97,
BD-RL11052001EN,TOTAL SECURITY 2013 2YR 1U,,76.97,
BD-RL11052003EN,TOTAL SECURITY 2013 2YR 3U,,97.97,
BD-RL11053003EN,TOTAL SECURITY 2013 3YR 3U,,125.97,
BD-SL11011001EN,AV PLUS 2014 1YR 1U SUBSCRIPT,,27.97,
BD-SL11011003EN,ANTIVIRUS PLUS 2014 1 YR 3U,,34.97,
BD-TL11011001EN,BitDefender AV Plus 2015,,27.52,
BD-TL11011003EN,ANTIVIRUS PLUS 2015 1YR 3 USER,,39.96,
BD-TL11031001EN,BITDEF INT SEC 2014 1 YR,,41.97,
BO-700803010T49,CRYS REP 08 NUL 10-49 UNITS,,358.47,
BO-70080301T2,CRYSTAL REPORTS NUL FULL,,436.14,
BO-70080303T9,CRYS REP 2008 NUL UPG 3-9U,,383.66,
BO-700803110T49,CRYSTAL RPRTS UPG-NUL 10-49U,,225.43,
BO-70080311T2,CRYST REP 2008 UPG NUL 1-2,,170.37,
BO-70080313T9,CRYS REP 2008 NUL 3-9U,,189.89,
BO-7008039,CR 08 UPG FRM CR SVR XI 5,,"4,152.57",
BO-7008041,CR 08 UPG FROM CR SVR XI 10,,"6,858.05",
BO-7008050,CRYS REP SVR 08 UPG FRM CRS XI,,"1,550.15",
BO-7008056,CRYSTAL REPORTS SVR 08 5 CAL,,"6,040.84",
BO-7008062,Crystal Reports Server 2008 5,,"2,137.10",
BO-70080751T2,CRSTL DSHBRD DSGN 08 XENGAGE,,778.75,
BO-70080753T9,XCELSIUS ENGAGE 2008 1 NUL,,,
BO-7008096,CR 08 UPG 5 CAL ENT SUP,,913.55,
BO-7008097,CR 08 UPG 10 CAL ENT SUP,,"1,508.86",
BO-7008105,CRYST REP SVR 5 NUL SUPPORT,,472.78,
BO-7008890,CR 08 DEVELOPER ADVANTAGE,,"2,154.67",
BO-70109403T9,CRYSTAL DASHBOARD DESIGN 2011,,384.74,
BO-7011145,CRYSTAL REPORTS SVR 2011 5 CAL,,"6,058.49",
BO-7011147,STD MNT CRYSTAL SERVER 2011 5U,,"1,090.44",
BO-7011151,CRSTL RPRTS SVR 2011 STD 10CAL,,"1,960.43",
BO-7011173,CRYSTAL RPRTS SVR 2011 UPG 5U,,"1,576.56",
BO-70164631T2,CRYSTAL REPORTS LICENSE,,428.00,
BO-7090243,CRYSTAL REPORTS 2008,,341.73,
BO-7090244,Crystal Reports 2008 UPG,,252.67,
BO-7090306,Crystal Reports XI Developer R,,514.24,
BO-7090310,CRYSTAL REPORTS 2011,,428.13,
BO-7090311,CRYSTAL REPORTS 2011 UPGRADE,,256.57,
CA-AVP08DNC03E,ANTIVIRUS & ANTISPYWARE 200,1.00,,
CA-BABWBR1250W35,ARCSERVE 12.5 SBS STD,1.00,,
CA-BABWBR1600W00C4,ARCSERVE BACKUP 16 WIN LIC,,464.86,
CA-BABWBR1600W12C4,ARCSERVE BU 16 AGT EXCH LIC 1Y,,593.69,
CA-BABWBR1600W17C4,ARCSERVE BU 16 AGT SQL,,592.72,
CA-BABWBR1600W22C4,ARCSERVE B/U R16 CLNT AGT WIN,,237.93,
CA-BABWBR1650W00C4,ARCSRV BCKUP FOR WIN 1YR ENT M,,462.61,
CA-BABWBR1650W05C4,ARCSRV BCKUP 16.5 1 YR WIN DIS,,418.55,
CA-BABWCU1250W01C4,ARCSERV BACK 12.5 TLO COMP UPG,,415.76,
CA-BABWCU1250W22C4,ARCSERV BACK 12.5 CLNT F UPG,,165.03,
CA-BABWCU1250W50C4,ARCSERV BACK 12.5 ESS BUS PREM,,"1,337.09",
CA-BABWCU1250W52C4,ARCSERV BACK 12.5 AGT VIRT CUP,,165.05,
CA-BABWCU1650W09C4,ARCSRV BCKP AGT OPN FILES 1YR,,332.18,
CA-BABWUR1600W00C4,ARCSERVE BU 16 WIN UPG,,364.89,
CA-BABWUR1600W09C4,ARCSERVE BU AGT FILES WIN UPG,,374.30,
CA-BABWUR1600W12C4,ARCSERVE BU 16 AGT EXCH UPG,,468.46,
CA-BABWUR1600W22C4,ARCSERVE BU 16 AGT WIN UPG,,185.97,
CA-BABWUR1600W80C4,ARCSERVE BU 16 VM AGENT,,729.77,
CA-ETRAV70HEP02,ETRUST EZ ANTIVIRUS 2005 RET.,,16.00,
CA-ETREZAV62OEM01,ETRUST EZ AV 2005 OEM,,,
CD-7LXMXQDWPR,COMODO IS PRO,,,
CI-CONSNTASA5515V,CISCO SMRTNT EXT SERV 8X5 BUS,,509.32,
CI-CONSNTPASA5515V,CISCO SMRTNT EXT SRV 8X5 PHYS,,833.12,
CO-99006529500,PINNACLE STUDIO16 ULTIMATE,,106.24,
CO-CCAD2013MLPCMAM,CorelCAD 2013 (Windows/Mac)_,,568.57,
CO-CCAD2014MLPCMA,CORELCAD 2014 ACAD,,32.12,
CO-CDGSX5ENHBB,CorelDRAW Graphics Suite X5,,161.20,
CO-CDGSX6ENHBB,CORELDRAW GRAPHICS STE X6,,420.07,
CO-CDGSX6ENHBBUG,CORELDRAW GRAPHICS STE X6 UPG,8.00,165.17,"1,321.39"
CO-CDGSX6MLDVDAAM,CORELDRAW GS X6 ACAD,,77.00,
CO-CDGSX7ENDB,CorelDraw Graphics Suite X7,,,
CO-CDGSX7ENDBUG,CORELDRAW GRAPHICS STE X7 UPG,,172.20,
CO-CDGSX7MLDVDA,CORELDRAW GRAPHICS STE X7 ACAD,,85.67,
CO-CDHSX6ENMBAMC,CORELDRAW GRAPHICS STE X6 ACAD,,102.77,
co-cdpsx5en,Premium Suite X5,,,
CO-CDPSX5ENUG,CorelDRAW Premium Suite X5 - U,,185.00,
CO-CHO5ENMB,Home Office - Personal and Bus,,44.96,
CO-CPDFF1ENMB,PDF Fusion,,56.74,
CO-LCCDGSML1MNT1,1YR MNT GRAPHICS STE,,75.13,
CO-LCCDGSML1MNT2,2YR MNT GRAPHICS STE X5,,118.51,
CO-LCCDGSX6ML1,CORELDRAW GRAPHICS STE X6 LIC,,400.44,
CO-LCCDTSX6MLA1,CORELDRAW TECH STE X6 EDU 1U,,83.04,
CO-LCVSPRX7MLUG2,VideoStudio Pro X7 Upgrade,,,
CO-LCWD2010ML1,WINDVD 2010 CORPORATE LIC,,34.39,
CO-LCWPX6EN1,WORDPERFECT X6 STANDARD,,192.77,
CO-LCWPX6PROEN1,WORDPERFECT X6 PRO 1-4 U LIC,,335.02,
CO-LCWPX7ML1,WORDPRFT OFFCE X7 STD,,197.29,
CO-LCWPX7ML2,WORDPRFCT OFF X7 STND LVL 2,,187.61,
CO-LCWPX7MLA1,WRDPRFCT OFFC X7 EDU SNG LIC,,44.62,
CO-LCWPX7PROMLUGGOV,WORDPRFCT OFFICE X7 UPG GOV,,,
CO-LCWZ17STDMLA,WINZIP 17 STD,,19.10,
CO-LCWZ17STDMLB,WINZIP 17 STD 10-24 LIC,,14.75,
CO-LCWZ18STDMLA,WinZip 18 stn lic mult,,19.08,
CO-LCXPACKEN1,DVD XPACK LICENSE 1-4U,,12.60,
CO-LMPWD2010CEML,WORDPERFECT X6 PRO MEDIA KIT,,22.86,
CO-LMPWPOX7STDEN,WORDPERFECT OFFICE X7 STND EN,,,
CO-LMPWPX6STENAM,MEDIA KIT WORDPERFECT X6 STD,,22.90,
CO-PE4ENPCM,PAINTER ESS 4.0,,95.04,
CO-PIPENMB,PAINT IT!,,,
CO-PSPX5ENMBAM,PAINTSHOP PRO X5,,65.35,
CO-PSPX5ULENMBAM,PaintShop Pro X5 Ultimate,,83.32,
CO-PSPX6ENMBAM,PaintShop Pro X6 - Minibox,,66.88,
CO-PTR12ENPCM,COREL PAINTER 12 RET,,,
CO-PTR12ENPCMDVDA,Painter 12 - Academic Edition,,88.79,
CO-PTR12ENPCMUG,Painter 12 - Upgrade,,211.88,
CO-PTRX3ENFRPCMAAM,Painter X3 Academic,,94.30,
CO-PTRX3ENPCMUGAM,Painter X3 - Upgrade,,211.27,
CO-PVBPRX3ENMB,Photo & Video Bundle X3,16.00,,
CO-VEN10ENGPCDVD,COREL VENTURE 10,,580.81,
CO-VEN10ENGPCDVDUG,VENTURA 10 UPG,,219.95,
CO-VSPRX3ENMB,VideoStudio Pro X3,11.00,,
CO-WDPR11ENMB,WinDVD 11 Pro (Minibox),,69.06,
CO-WPOX7HSENMB,ordPerfect Office X7 Home & St,,50.00,
CO-WPOX7PRENDVD,WordPerfect Office X7 Professi,,346.06,
CO-WPOX7STDENMB,WordPerfect Office X7 Standard,,212.09,
CO-WPX4ENPCMBA,WORDPERFECTOFFICE X4,,,
co-wpx5efdvda,WP X5 Pro Acad,14.00,66.41,929.79
co-wpx5oem,Word Perfect X5 STD OEM,6.00,11.91,71.48
CO-WPX5STDENMB,WordPerfect Office X5 Standard,,222.01,
CO-WPX5STDENMBUG,WordPerfect Office X5 Standard,,168.95,
CO-WPX6ENHSMBAM,WordPerfect Office X6 H&S MB,,88.69,
CO-WPX6PRENMBAM,WordPerfect Office X6 Professi,2.00,245.00,490.00
CO-WPX6PRENMBUAM,WordPerfect Office X6 Professi,,220.27,
CO-WPX6STDEMBUAM,WordPerfect Office X6 STD UPG,,140.00,
CO-WPX6STDENMBAM,WordPerfect Office X6 Standard,,214.46,
CO-WZ16PROENDVD,WinZip 16 Pro,,51.16,
CO-WZ16STDENDVD,Corel Corporation WINZIP 16 ST,,34.79,
CO-WZ17STDENDVD,Winzip 17 Standard,,35.55,
CO-WZ18STDENDVD,WINZIP 18 STD COMPLETE,,55.81,
CP-CP0009,CIRCUS PONIES NOTEBOOK V3.0,,38.31,
CR3467,3DAY VSPHERE DESIGN WORKSHOP,,,
CS-28930739,COMMUNICATE! DELUXE,,65.00,
CU-4462B003,EOS Rebel T2i - 18 Megapixel D,,658.00,
CV-136518,UNDELETE SERVER 2009,,392.97,
CV-136519,UNDELETE SERVER 2009 - UPGRADE,,263.07,
CV-172296,Diskeeper 2011 Professional,,69.86,
CV-172297,Diskeeper 2011 Pro - Upgrade,,31.79,
CV-172308,Diskeeper 2011 Pro Premier,,79.11,
CV-172320,Diskeeper 2011 Server,,308.68,
CV-191564,DISKEEPER 12 PRO 1-9 USERS,,52.45,
CV-191574,DISKEEPER 12 SERVER 1-4 USERS,,306.08,
CV-191575,DISKEEPER 12 SVR 5-9 USER,,281.59,
CV-191585,DISKEEPER 12 ADMIN (1-10 U),,244.85,
CV-191586,DISKEEPER 12 PRO UPG 1-9U,,31.43,
DISCOUNT,DISCOUNT,,,
DL-AE008188201,EARTHMATE PN-60,,224.95,
DL-AE008231201,EARTHMATE PN-60W SPOT,,337.45,
DL-AE008372201,EARTHMATE PN60-W STANDALONE,,264.45,
DL-AF007749201,EARTHMATE PN CARRY CASE,,11.95,
DL-AF007850000,RAM IN-VEHICLE MOUNT,2.00,29.95,59.90
DL-AF007851000,RAM MOTOR SPORT MOUNT,3.00,29.95,89.85
DL-AF007852000,RAM BICYCLE MOUNT,4.00,24.95,99.80
DL-AG008373201,inReach for Andriod,,188.45,
DL-AG008374201,inReach for PN-60w,,188.45,
DL-AG008449201,inReach for Smartphones,,187.45,
DL-AG009871201,inReach SE,,224.95,
DL-AO008184203,TOPO NORTH 9.0,,59.95,
DL-AO008506101,STREET ATLAS USA 2013 +,,29.95,
DL-AO008517101,Topo North America 10.0,,59.42,
DL-AS008045201,MAP LIBRARY ANNUAL SUBS,,19.29,
EB-BDEX00MLENWB0,RAD STUDIO XE ENTERPRISE LIC,,"2,533.16",
EB-CPBX00MUENWB0,C++ BUILDER XE PRO UPGRADE,,451.61,
EB-CWR1375WWEN180,CODEWRIGHT 7.5 LIC,,261.89,
EB-HDBX00MLENWB0,DELPHI XE PRO NMD ESD,,813.62,
EB-HDBX05MLENWB0,DELPHI XE5 PRO,,841.26,
EB-HDEX00MLENWB0,DELPHI XE ENTERPRISE,,"1,809.14",
EB-HDEX00MUENWB0,DELPHI XE ENTERPRISE UPG,,"1,175.63",
EF-IP10B,Instant PDF 10,1.00,281.32,281.32
EF-IP10E,INSTANT PDF 10 - ESD,,269.24,
EF-PP11B,PitStop Pro 11,,691.69,
EF-PP11E,PITSTOP PRO 11 ESD,,718.42,
EF-PP11E2,PIT STOP PRO 11 2 PACK,,"1,078.34",
EF-PP12B,PitStop Pro 12,,732.38,
EF-PP12E,PITSTOP PRO 12 - ELECTRONIC,,719.55,
EF-PPRSUBYEAR,PITSTOP PRO 13 - 1 YR SUBSCRPT,,324.00,
EF-PPU11F10E,PITSTOP PRO 11 UPG FR 10 ESD,,196.69,
EF-PPU11F8B,PitStop Pro 11 - Upgrade / 8,,297.97,
EF-PPU11F8E,PITSTOP PRO 11 UG FR 8,,281.37,
EF-PPU11F9E,PITSTOP PRO 11 UPG FR 9 LIC,,305.50,
EF-PPU12F1OE,PitStop Pro 12 - Upg from 10,,305.50,
EF-PPVLEVELB12E,PITSTOP PRO 12 ESD LEVL B 5-9U,,574.74,
EF-PPVULEVELB12F10E,PITSTP PRO 12 UPG FRM 10 VOL,,305.50,
EF-SS11E,PITSTOP SERVER 11 ESD,,"3,418.94",
EF-SSU11F9E,PITSTOP SERVER UPG 11 FR 9 ESD,,"1,519.00",
EI-APPNEWPRO080PN,RETROSPECT PRO 5 client V8,,78.68,
EI-BU10A600000,RETROSPECT 6.0 DESKTOP,1.00,,
EM-RZ2EA0077,UPG RETROSPECT SBS STD 7.7,,99.68,
ES-WFSN3C,3YR STD ESET SEC WIN FILE SVR,,12.96,
ET-EAVHN11RBX,ESET NOD32 AV 5 OEM,,20.00,
ET-EAVHN131RBX,ESET NOD32 ANTIVIRUS 5 WIN 3 U,,29.00,
ET-WFSR1B5,ESET SECRTY WIN FILE 1YR REN,,,
FD-FD8CASE,Final Draft 8,,170.91,
FD-FD8MULTI5,FINAL DRAFT 8 (5-25U),,95.00,
FJ-PA43403E703,Rack2-Filer v5.0,,162.99,
FJ-PA43403E705,RACK FILER UPG 5.0,,64.68,
FJ-PA43404A410,RACK2-FILER SMART MAGIC DESKT,,137.42,
FM-FM130013LL,FILEMAKER PRO 13 UPG 1-4 U,,154.82,
FM-FM130026LL,FILEMAKER PRO 13 ADV - UPG,,230.47,
FM-FM130317LL,FM SVR 13 1YR MNTNC,,"1,786.34",
FM-H5261LLA,FILEMAKER PRO 12 UPG W/1YR SUP,,149.83,
FM-H5276LLA,FILEMAKER SERVER 12 UPG,,451.24,
FM-H6316LLA,FILEMAKER PRO 13 DVD,,129.00,
FM-H6316LLAFBA,FILE MAKER PRO 13 UPGRADE,,129.00,
FM-H6317LLA,FileMaker Pro 12 Upgrade,,169.59,
FM-H6320LLA,FileMaker Pro 12 Advanced,,417.56,
FM-H6321LLA,FileMaker Pro 12 Adv Upg,,251.70,
FM-H6324ZMA,FileMaker Server 12,,800.00,
FM-HB793LLA,,,259.83,
FM-HFTT2LL/A,FILEMAKER PRO 13 UPGRADE,,,
FM-HFTX2LLA,FILEMAKER UPG PRO 13 ADV,,,
FM-TY357LLA,FileMaker Pro 11 Upgrade,,125.00,
FM-TY366LLA,FileMaker Server 11 Upgrade,,503.28,
GS-AV12N12EN003,Anti-Virus 2012 (3 Users),,32.12,
GS-AV13N12EN001,AVG AntiVirus 2013 1U,,23.75,
GS-AV13N12EN003,AntiVirus 2013 - 3 Users,,29.76,
GS-AVH12NRET20110000,Anti-Virus 2011 with 1 Year Su,,17.00,
GS-IS12N12EN001,AVG 2012 INTERNET SECURITY 1U,,39.48,
GS-IS13N12EN001,AVG INTERNET SECURITY 2013 1U,,41.31,
GS-IS13N12EN003,Internet Security 2013 - 3 U,,52.33,
GS-IS14N12EN001,AVG INTERNET SECURITY 2014 1U,1.00,39.57,39.57
GS-IS14N12EN003,AVG Internet Security 2014 - 3,,52.83,
GS-ISH12NRET20110000,Internet Security 2011 1YR,,23.00,
HP-NM274A8#ABA,"HP 22 LCD Monitor_""""",,153.95,
HR-103660012,H&R Block at Home Basic 2012 +,,30.50,
HR-111660008,TAXCUT 2008 HOME & BUS+E-FILE,,,
HR-111660012,H&R Block At Home Premium & Bu,,72.59,
HR-133660007,TAXCUT 2007 PREMIUM+STATE+EFIL,2.00,,
HR-133660011,H&R Block at Home Deluxe 2011,,22.00,
HR-133660612,H&R Block at Home Deluxe 2012,,20.00,
HT-LB0510,Film Scan & Save,,,
HT-VDD4M,VHS TO DVD 4 DELUXE,,60.38,
IE-VBX6DP2U,VirusBarrier x6 Dual Protectio,,46.49,
IF-01581,TT CRYSTAL REPORTS FUNDAMENTAL,,49.97,
IF-01582,Photoshop Elem 8,1.00,,
IF-01584,Learning To Use Final Cut Pro,,49.97,
IF-01585,AutoCAD 2010 Essential Trainin,,37.47,
IF-01590,AutoCAD 2011 Fundamentals,,57.97,
IF-01592,Final Cut Pro 7 Training Bundl,,74.97,
IF-01593,Learning Carrara 8,,49.97,
IF-01595,Learning Microsof Project 2010,,99.95,
IF-01596,Learning Microsoft Excel 2010,,49.97,
IF-01597,Learning Adobe Photoshop CS5,,49.97,
IF-01598,Learning Microsoft Word 2010,,49.97,
IF-01599,Learning Microsoft Outlook 201,,62.48,
IF-01601,Learning Poser 8/Poser Pro 201,,99.95,
IF-01602,Learning Rhino 4,,59.97,
IF-01605,Learning Microsoft PowerPoint,,49.98,
IF-01608,AutoCAD 2011 Training Bundle,,74.97,
IF-01609,Learning Microsoft Access 2010,,59.97,
IF-01610,Learning Office 2010 Prem Bdl,,180.10,
IF-01612,Learning Adobe Dreamweaver CS5,,54.98,
IF-01616,Rhino 4 Training Bundle,,74.95,
IF-01617,Learning Revit 2011,,80.00,
IF-01619,Crystal Reports 2008 Training,,74.97,
IF-01621,Learning Bentley MicroStation,,49.97,
IF-01622,Adobe InDesign CS5 Advanced Tr,,49.97,
IF-01623,Learning Adobe After Effects C,,59.97,
IF-01624,Adobe InDesign CS5 Training Bu,,74.97,
IF-01625,Advanced Microsoft Excel 2010,,49.97,
IF-01627,Adobe CS5 Training Bundle,,175.12,
IF-01628,Microsoft Excel 2010 Training,,74.97,
IF-01629,Adobe Photoshop CS5 for Photog,,59.97,
IF-01630,Learning C++,,49.97,
IF-01631,Learning Solidworks 2011,,49.95,
IF-01634,Learning Dreamweaver CS5.5,,49.97,
IF-01635,Learning Adobe Flash CS5.5,,49.97,
IF-01637,Learning Revit Architecture 20,,49.97,
IF-01638,Learning AutoCAD 2012,,49.97,
IF-01639,Carrara 8 Training Bundle,,84.97,
IF-01640,Learning Maya 2012,,69.97,
IF-01641,Learning Microsoft Word 2011 f,,24.97,
IF-01643,Learning Microsoft Excel 2011,,24.97,
IF-01644,Learning 3DS Max 2012,,49.99,
IF-01645,Learning to Program with Java,,49.97,
IF-01650,Learning Acrobat X,,49.97,
IF-01653,Advanced AutoCAD 2012,1.00,49.97,49.97
IF-01654,AutoCAD 2012 Bundle,,149.95,
IF-01655,Learning Apple Final Cut Pro X,,49.97,
IF-01658,Learning Apple Motion 5,,59.97,
IF-01661,Learning Crystal Reports 2011,,49.97,
IF-01662,Learning AutoCAD LT 2012,,49.97,
IF-01663,Learning HDR Photography,,25.48,
IF-01665,Microsoft Access 2010 Training,,74.97,
IF-01668,Rhino 5 Training,,49.97,
IF-01669,Apple Video Production Bundle,,74.97,
IF-01671,Learning Adobe Photoshop El 10,,24.97,
IF-01675,Photo Restoration With Photosh,,49.97,
IF-01677,Learning Autodesk Mudbox 2012,,49.96,
IF-01678,Advanced Revit Structure 2012,,49.97,
IF-01679,Revit Structure 2012 Training,,74.97,
IF-01683,Learning Visual Basic for Micr,,49.97,
IF-01684,Learning Oracle Database 11g,,49.97,
IF-01687,Learning Adobe Photoshop Light,,50.00,
IF-01690,Learning Adobe Audition CS6,,49.97,
IF-01691,Learning Adobe Encore CS6,,49.97,
IF-01692,Learning Adobe Photoshop CS6,,49.97,
IF-01694,Learning SolidWorks 2012 Bundl,,74.97,
IF-01698,Learning Visual Basic for Exce,,49.97,
IF-01700,Learning Revit MEP 2013,,49.97,
IF-01702,C++ Programming Bundle,,74.97,
IF-01704,Learning Adobe Illustrator CS6,,49.97,
IF-01705,Learning Autodesk AutoCAD 2013,,49.97,
IF-01706,Learning AutoCAD LT 2013,,49.97,
IF-01707,Learning Corona SDK,,49.97,
IF-01708,Learning Autodesk 3DS Max 2013,,49.97,
IF-01709,Learning iOS Programming,,49.97,
IF-01710,Learning Adobe InDesign CS6,,49.97,
IF-01712,Learning Adobe Premiere Pro CS,,87.46,
IF-01713,Learning Adobe Dreamweaver CS6,,49.47,
IF-01714,Learning AutoCAD Civil 3D 2013,,49.97,
IF-01715,Adv SAP Crystal Reports 2011 T,,49.97,
IF-01716,SAP Crystal Reports 2011 Train,,74.97,
IF-01717,Rhino 5 Advanced Techniques_,,49.97,
IF-01718,Rhino 5 Training Bundle,,74.97,
IF-01721,Bentley MicroStation V8i Train,,112.47,
IF-01723,Learning Adobe Photoshop Eleme,,24.97,
IF-01738,Learning After Effects CS6,,49.98,
IF-01755,Advanced Microsoft Excel 2013,,49.97,
IF-01756,Microsoft Excel 2013 Training,,74.97,
IF-01759,Learning 3D Modeling in Photos,,49.97,
IM-00TC3M50CC01A,TurboCAD Mac Deluxe 2D/3D 5_,1.00,,
IM-00TCD519CC01,TurboCAD Deluxe 19,,69.81,
IM-00TCD520CC01,TurboCAD Deluxe 20,,73.58,
IM-00TCP516DC,TurboCAD Pro 16,1.00,,
IM-00TCP519CC05,TurboCAD Pro Platinum 19_,,"1,039.06",
IM-00TCP519UCOU3,TurboCAD Pro 19 - Upgrade,,490.28,
IM-00TDE517CC01,TurboCAD Designer 17,,32.49,
IM-00TFD510CC,FLOORPLAN HOME & INTERIOR,,76.17,
IM-00TFP510DC,Furniture Maker 4,,144.32,
IM-00TFS510CC,FLOORPLAN HOME & LANDSCAPE PRO,,105.92,
IM-00TPMM60DC,TurboCAD Mac Pro 6,,348.61,
IM-CAM35MBX01,ClipArt & More 3.5 Million,,33.53,
InfoMaker,InfoMaker,,,
IS-01589,Photoshop Elements 8 for Mac T,,24.97,
IS-01685,Learning MySQL 5,,49.97,
IS-01705,Learning Autodesk AutoCAD 2013,,49.97,
IS-3106,PROCITE WINDOWS 5.0,,163.73,
IS-RIPC12HOME,Readiris 12 Home,,48.26,
IT-413615,QB 2011 MAC SINGLE,,165.00,
IT-413782,Quicken Essentials for Mac 201,,,
IT-413789,Quicken Home & Business 2011,,17.00,
IT-413792,INTUIT QUICKEN DELUXE 2011,,,
IT-413803,QUICKEN PREMIERE,,40.00,
IT-416981,QUICKBOOKS PREMIER MANUFACTURI,,315.39,
IT-416986,Quickbooks Premier Professiona,,302.60,
IT-416987,Quickbooks Premier Nonprofit 2,,302.32,
IT-416997,Quickbooks Premier IE 3 User,,752.67,
IT-417006,Quickbooks 2012 for Mac,,115.00,
IT-417207,QUICKEN HOME & BUSINESS 2012,,51.00,
IT-417221,Quicken Premier 2012,,46.00,
IT-417224,QUICKEN STARTER 2012,,27.24,
IT-417231,Quicken Rental Property Manage,,90.00,
IT-419241,Quickbooks Pro 2013 - 3 Users,,390.00,
IT-419243,Quickbooks Pro 2013,,140.00,
IT-419262,QUICKBOOKS PREMIER IND 2013,,244.99,
IT-419267,Quickbooks Premier 2013,,210.00,
IT-419268,QUICKBOOKS PREMIER IND 2013,,220.00,
IT-419272,Quickbooks 2013 for Mac,,207.76,
IT-419306,QuickBooks Pro 2013 w/Enhanced,,304.65,
IT-419313,QuickBooks Basic Payroll 2013,,110.03,
IT-419323,Quicken Home & Business 2013,,55.00,
IT-419337,QUICKEN PREMIER 2013,1.00,46.60,46.60
IT-419339,QUICKEN STARTER 2013,,35.53,
IT-419355,QUICKEN RENTAL PRPTY 2013,,75.00,
IT-419356,QUICKEN DELUXE 2013,,32.00,-0.01
IT-420457,TurboTax Business 2012,,129.89,
IT-420458,TurboTax H&B 2012 w/ state,,50.00,-0.01
IT-420459,Turbo Tax Premiere 2012,2.00,50.86,101.72
IT-420460,TurboTax Deluxe 2012,,44.65,
IT-420461,Turbo Tax Deluxe 2012,37.00,38.73,"1,433.00"
IT-420462,TurboTax Basic 2012,,28.40,
IT-420479,TurboTax Dlx 2012 - State Incl,,53.15,-0.01
IT-421187,QUICKEN HOME & BUSINESS 2014,,55.00,
IT-421192,Quicken Home & Business 2014,,93.81,
IT-421204,QUICKEN PREMIER 2014,,48.00,
IT-421205,Quicken Premier 2014,,48.00,
IT-421207,QUICKEN DELUXE 2014,,34.00,
IT-421208,Quicken Starter Edition 2014,,36.01,
IT-421222,Quicken Rental Property Manage,,127.69,
IT-421223,Quicken Deluxe 2014,,34.00,
IT-421318,QUICKBOOKS PRO 2014,,165.00,
IT-421325,Quickbooks Pro 2014 - 3 User,,450.53,
IT-421333,Quickbooks Pro 2014 With Enhan,,326.95,
IT-421336,Quickbook Pro 2014 3U Fin Mgmt,,410.00,
IT-421353,QUICKBOOKS PREMIER 2014 INDUST,,757.71,
IT-421357,QuickBooks 2014 Premier Indust,,220.00,
IT-421359,Quickbooks Premier 2014 Indust,,221.00,
IT-421367,Quickbooks Pro 2014 for Mac,,169.99,
IT-421379,Quickbooks Pro 2014 - 1 User,,213.46,
IT-421403,QCKBK PREM 2014 INDSTY ED 3U,,699.97,
IT-422406,TurboTAx Premier 2013- State I,,78.09,
IT-422407,TurboTax Home & Business 2013,,89.08,
IT-423053,TURBOTAX BUSINESS 2013,,128.26,
IT-423056,TurboTax Deluxe 2013,,44.33,
IT-423058,TurboTax Basic 2013,,27.87,
IT-423075,TURBOTAX DELUXE FED AND ST,,53.22,
IT-424218,Quicken Home & Business 2015,1.00,60.00,60.00
